lat,lon,time,spatial_ref,tmax
13.5,77.5,1951-01-01,0,26.969999313354492
13.5,77.5,1951-01-02,0,26.18000030517578
13.5,77.5,1951-01-03,0,26.309999465942383
13.5,77.5,1951-01-04,0,26.729999542236328
13.5,77.5,1951-01-05,0,26.93000030517578
13.5,77.5,1951-01-06,0,26.25
13.5,77.5,1951-01-07,0,26.450000762939453
13.5,77.5,1951-01-08,0,25.690000534057617
13.5,77.5,1951-01-09,0,25.889999389648438
13.5,77.5,1951-01-10,0,26.6200008392334
13.5,77.5,1951-01-11,0,27.049999237060547
13.5,77.5,1951-01-12,0,27.770000457763672
13.5,77.5,1951-01-13,0,28.219999313354492
13.5,77.5,1951-01-14,0,27.8700008392334
13.5,77.5,1951-01-15,0,27.90999984741211
13.5,77.5,1951-01-16,0,26.790000915527344
13.5,77.5,1951-01-17,0,27.850000381469727
13.5,77.5,1951-01-18,0,28.0
13.5,77.5,1951-01-19,0,27.700000762939453
13.5,77.5,1951-01-20,0,29.329999923706055
13.5,77.5,1951-01-21,0,28.940000534057617
13.5,77.5,1951-01-22,0,28.450000762939453
13.5,77.5,1951-01-23,0,27.59000015258789
13.5,77.5,1951-01-24,0,26.969999313354492
13.5,77.5,1951-01-25,0,28.329999923706055
13.5,77.5,1951-01-26,0,28.280000686645508
13.5,77.5,1951-01-27,0,27.8700008392334
13.5,77.5,1951-01-28,0,27.790000915527344
13.5,77.5,1951-01-29,0,27.979999542236328
13.5,77.5,1951-01-30,0,28.18000030517578
13.5,77.5,1951-01-31,0,28.389999389648438
13.5,77.5,1951-02-01,0,28.40999984741211
13.5,77.5,1951-02-02,0,28.780000686645508
13.5,77.5,1951-02-03,0,30.100000381469727
13.5,77.5,1951-02-04,0,29.440000534057617
13.5,77.5,1951-02-05,0,28.899999618530273
13.5,77.5,1951-02-06,0,28.84000015258789
13.5,77.5,1951-02-07,0,29.770000457763672
13.5,77.5,1951-02-08,0,28.829999923706055
13.5,77.5,1951-02-09,0,27.969999313354492
13.5,77.5,1951-02-10,0,28.260000228881836
13.5,77.5,1951-02-11,0,29.479999542236328
13.5,77.5,1951-02-12,0,30.0
13.5,77.5,1951-02-13,0,31.020000457763672
13.5,77.5,1951-02-14,0,31.170000076293945
13.5,77.5,1951-02-15,0,29.790000915527344
13.5,77.5,1951-02-16,0,31.09000015258789
13.5,77.5,1951-02-17,0,30.6299991607666
13.5,77.5,1951-02-18,0,30.489999771118164
13.5,77.5,1951-02-19,0,30.0
13.5,77.5,1951-02-20,0,31.709999084472656
13.5,77.5,1951-02-21,0,31.56999969482422
13.5,77.5,1951-02-22,0,31.3799991607666
13.5,77.5,1951-02-23,0,30.90999984741211
13.5,77.5,1951-02-24,0,31.739999771118164
13.5,77.5,1951-02-25,0,32.689998626708984
13.5,77.5,1951-02-26,0,32.970001220703125
13.5,77.5,1951-02-27,0,32.880001068115234
13.5,77.5,1951-02-28,0,33.20000076293945
13.5,77.5,1951-03-01,0,33.36000061035156
13.5,77.5,1951-03-02,0,33.779998779296875
13.5,77.5,1951-03-03,0,32.93000030517578
13.5,77.5,1951-03-04,0,31.270000457763672
13.5,77.5,1951-03-05,0,31.579999923706055
13.5,77.5,1951-03-06,0,32.599998474121094
13.5,77.5,1951-03-07,0,32.709999084472656
13.5,77.5,1951-03-08,0,32.15999984741211
13.5,77.5,1951-03-09,0,32.93000030517578
13.5,77.5,1951-03-10,0,33.209999084472656
13.5,77.5,1951-03-11,0,33.29999923706055
13.5,77.5,1951-03-12,0,33.470001220703125
13.5,77.5,1951-03-13,0,33.540000915527344
13.5,77.5,1951-03-14,0,33.52000045776367
13.5,77.5,1951-03-15,0,33.939998626708984
13.5,77.5,1951-03-16,0,32.970001220703125
13.5,77.5,1951-03-17,0,33.040000915527344
13.5,77.5,1951-03-18,0,33.33000183105469
13.5,77.5,1951-03-19,0,34.380001068115234
13.5,77.5,1951-03-20,0,34.349998474121094
13.5,77.5,1951-03-21,0,34.029998779296875
13.5,77.5,1951-03-22,0,35.25
13.5,77.5,1951-03-23,0,35.04999923706055
13.5,77.5,1951-03-24,0,34.81999969482422
13.5,77.5,1951-03-25,0,33.529998779296875
13.5,77.5,1951-03-26,0,32.72999954223633
13.5,77.5,1951-03-27,0,32.77000045776367
13.5,77.5,1951-03-28,0,32.27000045776367
13.5,77.5,1951-03-29,0,31.809999465942383
13.5,77.5,1951-03-30,0,32.689998626708984
13.5,77.5,1951-03-31,0,31.899999618530273
13.5,77.5,1951-04-01,0,31.8799991607666
13.5,77.5,1951-04-02,0,31.299999237060547
13.5,77.5,1951-04-03,0,32.54999923706055
13.5,77.5,1951-04-04,0,31.059999465942383
13.5,77.5,1951-04-05,0,32.29999923706055
13.5,77.5,1951-04-06,0,33.54999923706055
13.5,77.5,1951-04-07,0,33.41999816894531
13.5,77.5,1951-04-08,0,33.90999984741211
13.5,77.5,1951-04-09,0,33.38999938964844
13.5,77.5,1951-04-10,0,34.36000061035156
13.5,77.5,1951-04-11,0,33.869998931884766
13.5,77.5,1951-04-12,0,29.75
13.5,77.5,1951-04-13,0,30.700000762939453
13.5,77.5,1951-04-14,0,30.100000381469727
13.5,77.5,1951-04-15,0,31.479999542236328
13.5,77.5,1951-04-16,0,31.389999389648438
13.5,77.5,1951-04-17,0,32.099998474121094
13.5,77.5,1951-04-18,0,33.040000915527344
13.5,77.5,1951-04-19,0,33.38999938964844
13.5,77.5,1951-04-20,0,33.290000915527344
13.5,77.5,1951-04-21,0,31.290000915527344
13.5,77.5,1951-04-22,0,32.369998931884766
13.5,77.5,1951-04-23,0,32.56999969482422
13.5,77.5,1951-04-24,0,33.04999923706055
13.5,77.5,1951-04-25,0,32.77000045776367
13.5,77.5,1951-04-26,0,33.470001220703125
13.5,77.5,1951-04-27,0,34.81999969482422
13.5,77.5,1951-04-28,0,33.5099983215332
13.5,77.5,1951-04-29,0,33.59000015258789
13.5,77.5,1951-04-30,0,33.689998626708984
13.5,77.5,1951-05-01,0,33.630001068115234
13.5,77.5,1951-05-02,0,33.0099983215332
13.5,77.5,1951-05-03,0,33.529998779296875
13.5,77.5,1951-05-04,0,33.56999969482422
13.5,77.5,1951-05-05,0,33.900001525878906
13.5,77.5,1951-05-06,0,34.290000915527344
13.5,77.5,1951-05-07,0,33.849998474121094
13.5,77.5,1951-05-08,0,34.25
13.5,77.5,1951-05-09,0,34.91999816894531
13.5,77.5,1951-05-10,0,34.90999984741211
13.5,77.5,1951-05-11,0,35.0
13.5,77.5,1951-05-12,0,34.59000015258789
13.5,77.5,1951-05-13,0,34.209999084472656
13.5,77.5,1951-05-14,0,33.439998626708984
13.5,77.5,1951-05-15,0,34.04999923706055
13.5,77.5,1951-05-16,0,34.16999816894531
13.5,77.5,1951-05-17,0,34.56999969482422
13.5,77.5,1951-05-18,0,34.75
13.5,77.5,1951-05-19,0,32.849998474121094
13.5,77.5,1951-05-20,0,33.709999084472656
13.5,77.5,1951-05-21,0,33.27000045776367
13.5,77.5,1951-05-22,0,33.540000915527344
13.5,77.5,1951-05-23,0,32.41999816894531
13.5,77.5,1951-05-24,0,32.0099983215332
13.5,77.5,1951-05-25,0,31.350000381469727
13.5,77.5,1951-05-26,0,30.8799991607666
13.5,77.5,1951-05-27,0,32.400001525878906
13.5,77.5,1951-05-28,0,31.860000610351562
13.5,77.5,1951-05-29,0,32.34000015258789
13.5,77.5,1951-05-30,0,30.040000915527344
13.5,77.5,1951-05-31,0,31.1299991607666
13.5,77.5,1951-06-01,0,29.770000457763672
13.5,77.5,1951-06-02,0,26.65999984741211
13.5,77.5,1951-06-03,0,28.3799991607666
13.5,77.5,1951-06-04,0,29.520000457763672
13.5,77.5,1951-06-05,0,29.040000915527344
13.5,77.5,1951-06-06,0,28.719999313354492
13.5,77.5,1951-06-07,0,28.6299991607666
13.5,77.5,1951-06-08,0,29.170000076293945
13.5,77.5,1951-06-09,0,29.889999389648438
13.5,77.5,1951-06-10,0,28.65999984741211
13.5,77.5,1951-06-11,0,29.280000686645508
13.5,77.5,1951-06-12,0,28.100000381469727
13.5,77.5,1951-06-13,0,28.200000762939453
13.5,77.5,1951-06-14,0,28.5
13.5,77.5,1951-06-15,0,28.610000610351562
13.5,77.5,1951-06-16,0,28.399999618530273
13.5,77.5,1951-06-17,0,30.139999389648438
13.5,77.5,1951-06-18,0,30.309999465942383
13.5,77.5,1951-06-19,0,29.6299991607666
13.5,77.5,1951-06-20,0,29.260000228881836
13.5,77.5,1951-06-21,0,28.200000762939453
13.5,77.5,1951-06-22,0,28.8799991607666
13.5,77.5,1951-06-23,0,28.360000610351562
13.5,77.5,1951-06-24,0,28.559999465942383
13.5,77.5,1951-06-25,0,27.920000076293945
13.5,77.5,1951-06-26,0,28.549999237060547
13.5,77.5,1951-06-27,0,28.68000030517578
13.5,77.5,1951-06-28,0,29.729999542236328
13.5,77.5,1951-06-29,0,30.329999923706055
13.5,77.5,1951-06-30,0,31.25
13.5,77.5,1951-07-01,0,32.11000061035156
13.5,77.5,1951-07-02,0,31.90999984741211
13.5,77.5,1951-07-03,0,32.119998931884766
13.5,77.5,1951-07-04,0,30.93000030517578
13.5,77.5,1951-07-05,0,31.09000015258789
13.5,77.5,1951-07-06,0,30.559999465942383
13.5,77.5,1951-07-07,0,28.209999084472656
13.5,77.5,1951-07-08,0,28.09000015258789
13.5,77.5,1951-07-09,0,27.09000015258789
13.5,77.5,1951-07-10,0,29.40999984741211
13.5,77.5,1951-07-11,0,31.15999984741211
13.5,77.5,1951-07-12,0,31.139999389648438
13.5,77.5,1951-07-13,0,29.989999771118164
13.5,77.5,1951-07-14,0,27.09000015258789
13.5,77.5,1951-07-15,0,29.31999969482422
13.5,77.5,1951-07-16,0,29.290000915527344
13.5,77.5,1951-07-17,0,28.889999389648438
13.5,77.5,1951-07-18,0,28.90999984741211
13.5,77.5,1951-07-19,0,26.25
13.5,77.5,1951-07-20,0,25.899999618530273
13.5,77.5,1951-07-21,0,26.940000534057617
13.5,77.5,1951-07-22,0,26.690000534057617
13.5,77.5,1951-07-23,0,27.510000228881836
13.5,77.5,1951-07-24,0,26.0
13.5,77.5,1951-07-25,0,25.049999237060547
13.5,77.5,1951-07-26,0,26.270000457763672
13.5,77.5,1951-07-27,0,26.799999237060547
13.5,77.5,1951-07-28,0,28.360000610351562
13.5,77.5,1951-07-29,0,29.18000030517578
13.5,77.5,1951-07-30,0,29.059999465942383
13.5,77.5,1951-07-31,0,27.93000030517578
13.5,77.5,1951-08-01,0,27.739999771118164
13.5,77.5,1951-08-02,0,28.190000534057617
13.5,77.5,1951-08-03,0,29.690000534057617
13.5,77.5,1951-08-04,0,29.270000457763672
13.5,77.5,1951-08-05,0,27.729999542236328
13.5,77.5,1951-08-06,0,28.350000381469727
13.5,77.5,1951-08-07,0,29.239999771118164
13.5,77.5,1951-08-08,0,28.1200008392334
13.5,77.5,1951-08-09,0,28.81999969482422
13.5,77.5,1951-08-10,0,28.889999389648438
13.5,77.5,1951-08-11,0,29.729999542236328
13.5,77.5,1951-08-12,0,29.110000610351562
13.5,77.5,1951-08-13,0,30.059999465942383
13.5,77.5,1951-08-14,0,29.860000610351562
13.5,77.5,1951-08-15,0,30.81999969482422
13.5,77.5,1951-08-16,0,30.850000381469727
13.5,77.5,1951-08-17,0,29.15999984741211
13.5,77.5,1951-08-18,0,28.670000076293945
13.5,77.5,1951-08-19,0,29.31999969482422
13.5,77.5,1951-08-20,0,29.799999237060547
13.5,77.5,1951-08-21,0,30.270000457763672
13.5,77.5,1951-08-22,0,30.010000228881836
13.5,77.5,1951-08-23,0,29.700000762939453
13.5,77.5,1951-08-24,0,29.579999923706055
13.5,77.5,1951-08-25,0,29.280000686645508
13.5,77.5,1951-08-26,0,30.280000686645508
13.5,77.5,1951-08-27,0,30.450000762939453
13.5,77.5,1951-08-28,0,30.059999465942383
13.5,77.5,1951-08-29,0,29.56999969482422
13.5,77.5,1951-08-30,0,29.190000534057617
13.5,77.5,1951-08-31,0,29.690000534057617
13.5,77.5,1951-09-01,0,29.25
13.5,77.5,1951-09-02,0,29.389999389648438
13.5,77.5,1951-09-03,0,31.079999923706055
13.5,77.5,1951-09-04,0,30.170000076293945
13.5,77.5,1951-09-05,0,28.6200008392334
13.5,77.5,1951-09-06,0,27.6299991607666
13.5,77.5,1951-09-07,0,26.75
13.5,77.5,1951-09-08,0,29.350000381469727
13.5,77.5,1951-09-09,0,30.059999465942383
13.5,77.5,1951-09-10,0,30.0
13.5,77.5,1951-09-11,0,29.190000534057617
13.5,77.5,1951-09-12,0,29.40999984741211
13.5,77.5,1951-09-13,0,29.59000015258789
13.5,77.5,1951-09-14,0,29.760000228881836
13.5,77.5,1951-09-15,0,31.010000228881836
13.5,77.5,1951-09-16,0,30.420000076293945
13.5,77.5,1951-09-17,0,31.139999389648438
13.5,77.5,1951-09-18,0,30.18000030517578
13.5,77.5,1951-09-19,0,30.06999969482422
13.5,77.5,1951-09-20,0,30.68000030517578
