lat,lon,time,spatial_ref,tmax
16.5,76.5,1951-01-01,0,28.360000610351562
16.5,76.5,1951-01-02,0,28.049999237060547
16.5,76.5,1951-01-03,0,27.84000015258789
16.5,76.5,1951-01-04,0,28.3700008392334
16.5,76.5,1951-01-05,0,28.709999084472656
16.5,76.5,1951-01-06,0,28.520000457763672
16.5,76.5,1951-01-07,0,27.920000076293945
16.5,76.5,1951-01-08,0,27.56999969482422
16.5,76.5,1951-01-09,0,28.989999771118164
16.5,76.5,1951-01-10,0,28.84000015258789
16.5,76.5,1951-01-11,0,29.729999542236328
16.5,76.5,1951-01-12,0,29.65999984741211
16.5,76.5,1951-01-13,0,30.3799991607666
16.5,76.5,1951-01-14,0,30.200000762939453
16.5,76.5,1951-01-15,0,29.959999084472656
16.5,76.5,1951-01-16,0,30.450000762939453
16.5,76.5,1951-01-17,0,30.059999465942383
16.5,76.5,1951-01-18,0,30.0
16.5,76.5,1951-01-19,0,30.5
16.5,76.5,1951-01-20,0,30.760000228881836
16.5,76.5,1951-01-21,0,30.520000457763672
16.5,76.5,1951-01-22,0,30.8799991607666
16.5,76.5,1951-01-23,0,30.520000457763672
16.5,76.5,1951-01-24,0,29.940000534057617
16.5,76.5,1951-01-25,0,30.75
16.5,76.5,1951-01-26,0,31.040000915527344
16.5,76.5,1951-01-27,0,30.959999084472656
16.5,76.5,1951-01-28,0,31.06999969482422
16.5,76.5,1951-01-29,0,30.989999771118164
16.5,76.5,1951-01-30,0,31.100000381469727
16.5,76.5,1951-01-31,0,30.920000076293945
16.5,76.5,1951-02-01,0,30.65999984741211
16.5,76.5,1951-02-02,0,30.209999084472656
16.5,76.5,1951-02-03,0,31.84000015258789
16.5,76.5,1951-02-04,0,31.81999969482422
16.5,76.5,1951-02-05,0,31.110000610351562
16.5,76.5,1951-02-06,0,31.420000076293945
16.5,76.5,1951-02-07,0,31.770000457763672
16.5,76.5,1951-02-08,0,31.149999618530273
16.5,76.5,1951-02-09,0,30.950000762939453
16.5,76.5,1951-02-10,0,31.549999237060547
16.5,76.5,1951-02-11,0,33.11000061035156
16.5,76.5,1951-02-12,0,33.45000076293945
16.5,76.5,1951-02-13,0,34.22999954223633
16.5,76.5,1951-02-14,0,33.880001068115234
16.5,76.5,1951-02-15,0,33.41999816894531
16.5,76.5,1951-02-16,0,32.2400016784668
16.5,76.5,1951-02-17,0,33.27000045776367
16.5,76.5,1951-02-18,0,33.52000045776367
16.5,76.5,1951-02-19,0,33.54999923706055
16.5,76.5,1951-02-20,0,34.59000015258789
16.5,76.5,1951-02-21,0,34.880001068115234
16.5,76.5,1951-02-22,0,34.650001525878906
16.5,76.5,1951-02-23,0,34.54999923706055
16.5,76.5,1951-02-24,0,35.81999969482422
16.5,76.5,1951-02-25,0,35.97999954223633
16.5,76.5,1951-02-26,0,36.189998626708984
16.5,76.5,1951-02-27,0,36.130001068115234
16.5,76.5,1951-02-28,0,36.220001220703125
16.5,76.5,1951-03-01,0,36.529998779296875
16.5,76.5,1951-03-02,0,36.310001373291016
16.5,76.5,1951-03-03,0,36.369998931884766
16.5,76.5,1951-03-04,0,35.38999938964844
16.5,76.5,1951-03-05,0,35.459999084472656
16.5,76.5,1951-03-06,0,36.06999969482422
16.5,76.5,1951-03-07,0,36.36000061035156
16.5,76.5,1951-03-08,0,36.02000045776367
16.5,76.5,1951-03-09,0,36.27000045776367
16.5,76.5,1951-03-10,0,36.279998779296875
16.5,76.5,1951-03-11,0,36.459999084472656
16.5,76.5,1951-03-12,0,36.84000015258789
16.5,76.5,1951-03-13,0,37.13999938964844
16.5,76.5,1951-03-14,0,36.849998474121094
